rates,server_cpu_usage,client_cpu_usage,session_rate,bw_util,connected_cons,failure_rate,client_timeout_rate,other_rate
0.5,0.4970856102003649,11.50638935108151,0.4517543859649123,178.08238304093535,57.85818713450293,0.0,0.0,0.0
1.0,1.0345892857142858,17.704352159468453,0.8538011695906478,370.49093567251504,116.30116959064327,0.0,0.0,0.0
1.5,1.404754990925591,21.62026446280993,1.2763157894736876,551.9908625730995,175.36549707602342,0.0,0.0,0.0
2.0,1.791739837398373,30.66639344262297,1.7024673439767772,720.8880813953494,236.82412790697674,0.0,0.0,0.0
2.5,2.157173202614381,43.95933649289097,2.007052186177716,837.0531029619176,307.672778561354,2.3728813559322033,2.3728813559322033,0.0
3.0,2.891027287319419,60.110837004405305,2.1921515561569684,858.1607577807857,379.64140730717185,12.332439678284182,12.332439678284182,0.0
3.5,3.2693840104849294,66.48783382789324,2.507823613086771,871.3682076813649,467.62446657183494,22.357723577235774,22.357723577235774,0.0
4.0,3.6310112359550546,71.64151757188499,2.5537720706260014,859.3650882825038,513.4109149277688,32.07171314741036,32.07171314741036,0.0
4.5,3.904721030042916,72.10024427480927,2.5148205928237104,848.2567862714504,531.5444617784711,39.00343642611684,39.00343642611684,0.0
5.0,4.174240000000007,73.67084507042256,2.601926163723916,838.1570626003213,560.5939004815409,42.879746835443036,42.879746835443036,0.0
5.5,4.328175740210126,77.79539325842704,2.7721674876847286,828.1391625615767,589.3103448275862,48.723404255319146,48.723404255319146,0.0
6.0,4.559523052464229,74.6145941807045,2.724137931034481,815.2691379310342,602.801724137931,52.94871794871795,52.94871794871795,0.0
6.5,4.73754335260115,78.14800556586253,2.9401709401709386,809.440598290597,639.1880341880342,53.275862068965516,53.275862068965516,0.0
7.0,4.855989375830017,84.22165903890154,2.9947299077733875,799.2903162055338,660.296442687747,57.407407407407405,57.407407407407405,0.0
7.5,5.04096402877698,79.70027272727283,3.425339366515838,793.6893665158369,708.6199095022624,58.94039735099338,58.94039735099338,0.0
8.0,4.960311185870476,84.73660041840994,3.3092269326683335,781.5904613466325,719.077306733167,59.39751146037983,59.39751146037983,0.0
